name,link,price,review_count,review_percentage,game_tags,Review_Category
Senua’s Saga: Hellblade II,https://store.steampowered.com/app/2461850/Senuas_Saga_Hellblade_II/?snr=1_7_7_230_150_3,22.99,2889,87,"['Action-Adventure', 'Psychological Horror', 'Story Rich', 'Cinematic', 'Female Protagonist', 'Dark', 'Mythology', 'Action', 'Adventure', 'Atmospheric', 'Singleplayer', 'Third Person', 'Horror', 'Psychological', 'Dark Fantasy', 'Swordplay', 'Vikings', 'Realistic', 'Walking Simulator', 'Combat']",1000-5000
iRacing,https://store.steampowered.com/app/266410/iRacing/?snr=1_7_7_230_150_5,5.79,2386,91,"['Racing', 'Automobile Sim', 'Simulation', 'VR', 'Sports', 'Driving', 'Massively Multiplayer', 'Multiplayer', 'Realistic', 'Singleplayer', 'Controller', 'eSports', 'First-Person', 'Action']",1000-5000
Grand Theft Auto: San Andreas – The Definitive Edition,https://store.steampowered.com/app/1547000/Grand_Theft_Auto_San_Andreas__The_Definitive_Edition/?snr=1_7_7_230_150_5,59.99,4590,83,"['Action', 'Sexual Content', 'Open World', 'Third-Person Shooter', 'Crime', 'Adventure', 'Action-Adventure', 'Third Person', 'Nudity', 'Violent', 'Singleplayer', ""1990's"", 'Combat', 'Mature', 'Gore', 'Story Rich', 'Classic', 'Psychological Horror', 'Memes', 'Sandbox']",1000-5000
Kebab Chefs! - Restaurant Simulator,https://store.steampowered.com/app/1001270/Kebab_Chefs__Restaurant_Simulator/?snr=1_7_7_230_150_5,5.99,2975,80,"['Early Access', 'Multiplayer', 'Simulation', 'Cooking', 'Physics', 'Management', 'Sandbox', 'Funny', 'Time Management', 'Immersive Sim', 'FPS', 'Building', 'Life Sim', 'Crafting', 'Character Customization', '3D', 'Party-Based RPG', 'First-Person', 'Open World', 'Relaxing']",1000-5000
Train Sim World® 4,https://store.steampowered.com/app/2362300/Train_Sim_World_4/?snr=1_7_7_230_150_6,18.99,1978,81,"['Simulation', 'Adventure', 'Trains', 'Realistic', 'Automobile Sim', 'First-Person', 'Immersive Sim', 'Driving', 'Atmospheric', 'Family Friendly', 'Relaxing', 'Transportation', 'Open World', 'Physics', 'Singleplayer', 'Story Rich', 'Multiplayer', 'Mature', 'VR']",1000-5000
Homeworld 3,https://store.steampowered.com/app/1840080/Homeworld_3/?snr=1_7_7_230_150_7,29.99,3793,40,"['Space', 'RTS', 'Strategy', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Tactical', 'Multiplayer', 'Co-op', 'Roguelike', 'Atmospheric', 'Combat', 'Female Protagonist', 'Real-Time', '3D', 'Competitive', 'Isometric', 'Simulation', 'Roguelite', 'Management']",1000-5000
Feign,https://store.steampowered.com/app/1436990/Feign/?snr=1_7_7_230_150_8,1.49,3441,93,"['Early Access', 'Casual', 'Multiplayer', 'Strategy', 'Social Deduction', 'RPG', 'Mystery', 'Investigation', 'Cute', 'Online Co-Op', 'Co-op', '2D', 'Tactical', 'Strategy RPG', 'Survival', 'PvP', 'Cartoony', 'CRPG', 'Tactical RPG', 'Cartoon']",1000-5000
Bread & Fred,https://store.steampowered.com/app/1607680/Bread__Fred/?snr=1_7_7_230_150_8,7.99,2718,70,"['Co-op', 'Local Co-Op', 'Cute', 'Pixel Graphics', '2D Platformer', 'Precision Platformer', 'Multiplayer', 'Difficult', '2D', 'Platformer', 'Funny', 'Comedy', 'Family Friendly', 'Local Multiplayer', 'Snow', 'Side Scroller', 'Casual', 'Controller', 'Online Co-Op', 'Colorful']",1000-5000
Taxi Life: A City Driving Simulator,https://store.steampowered.com/app/1351240/Taxi_Life_A_City_Driving_Simulator/?snr=1_7_7_230_150_9,19.99,1415,64,"['Driving', 'Simulation', 'Open World', 'Singleplayer', 'Realistic', 'Automobile Sim', 'First-Person', 'Relaxing', 'Exploration', 'Atmospheric', 'Immersive Sim', 'Management', 'Physics', 'Transportation', 'Third Person', 'Casual', '3D', 'Controller', 'Sandbox', 'Life Sim']",1000-5000
WWE 2K24,https://store.steampowered.com/app/2315690/WWE_2K24/?snr=1_7_7_230_150_9,59.99,2569,76,"['Sports', 'Simulation', 'Wrestling', 'Fighting', 'Character Customization', 'Singleplayer', 'PvP', 'Co-op', 'Local Co-Op', 'Online Co-Op', 'Multiplayer', 'Controller', 'Local Multiplayer', 'Casual', '3D Fighter', '3D', 'Realistic', 'Sandbox']",1000-5000
Rooftops & Alleys: The Parkour Game,https://store.steampowered.com/app/2703850/Rooftops__Alleys_The_Parkour_Game/?snr=1_7_7_230_150_9,8.49,1427,98,"['Simulation', 'Sports', 'Parkour', '3D Platformer', 'eSports', 'Exploration', 'First-Person', 'Immersive Sim', '3D', 'Third Person', 'Open World', 'Character Customization', 'Physics', 'Singleplayer', 'Controller', 'Early Access', 'Indie', 'Action', 'Gaming', 'Multiplayer']",1000-5000
Sker Ritual,https://store.steampowered.com/app/1492070/Sker_Ritual/?snr=1_7_7_230_150_10,12.49,3485,87,"['Atmospheric', 'Adventure', 'Shooter', 'PvE', 'Co-op', 'Online Co-Op', 'FPS', 'Action', 'Singleplayer', 'Realistic', 'First-Person', 'Action-Adventure', 'Early Access', 'Horror', 'Survival Horror', 'Zombies', 'Character Customization', 'Exploration', 'Controller', 'Story Rich']",1000-5000
The Thaumaturge,https://store.steampowered.com/app/1684350/The_Thaumaturge/?snr=1_7_7_230_150_10,17.99,1429,86,"['RPG', 'Choices Matter', 'Turn-Based Combat', 'Demons', 'Dark', 'Detective', 'Story Rich', 'Magic', 'Isometric', 'Mystery', 'Psychological', 'Combat', 'Singleplayer', 'Adventure', 'Lore-Rich', 'Exploration', 'Dark Fantasy', 'Fantasy', 'Creature Collector', 'Atmospheric']",1000-5000
MULLET MADJACK,https://store.steampowered.com/app/2111190/MULLET_MADJACK/?snr=1_7_7_230_150_10,10.49,2414,98,"['Arcade', 'FPS', 'Fast-Paced', 'Boomer Shooter', 'Action', 'Shooter', 'Singleplayer', '2.5D', 'Stylized', 'Indie', 'Anime', 'Score Attack', 'Cyberpunk', 'First-Person', '3D', 'Robots', 'Retro', '1980s', 'Roguelite', ""1990's""]",1000-5000
"Little Kitty, Big City",https://store.steampowered.com/app/1177980/Little_Kitty_Big_City/?snr=1_7_7_230_150_10,12.49,3584,94,"['Cats', 'Cute', 'Wholesome', 'Sandbox', 'Exploration', 'Family Friendly', 'Cozy', 'Comedy', 'Funny', 'Simulation', 'Indie', '3D', 'Cartoony', 'Stylized', 'Colorful', 'Singleplayer', 'Open World', 'Adventure', 'Nonlinear', '3D Platformer']",1000-5000
Only Climb: Better Together,https://store.steampowered.com/app/2500750/Only_Climb_Better_Together/?snr=1_7_7_230_150_11,2.0,1870,58,"['Precision Platformer', '3D Platformer', 'Difficult', 'Platformer', 'Arcade', 'Roguelike', 'Character Customization', '3D', 'Third Person', 'Funny', 'Casual', 'Simulation', 'Fantasy', 'Atmospheric', 'Adventure', 'Comedy', 'Multiplayer', 'Co-op', 'Online Co-Op', 'Action']",1000-5000
Granblue Fantasy Versus: Rising,https://store.steampowered.com/app/2157560/Granblue_Fantasy_Versus_Rising/?snr=1_7_7_230_150_11,34.99,3272,80,"['Action', '2D Fighter', 'Multiplayer', 'Anime', 'Fighting', 'Singleplayer', 'eSports', 'Action RPG', 'Fantasy', 'Competitive', 'Great Soundtrack', 'Local Multiplayer', 'Female Protagonist', 'Free to Play', 'Sexual Content']",1000-5000
Farm Together 2,https://store.steampowered.com/app/2418520/Farm_Together_2/?snr=1_7_7_230_150_12,10.49,1282,86,"['Early Access', 'Farming Sim', 'Agriculture', 'Sandbox', 'Life Sim', 'Family Friendly', 'Cute', 'Time Management', 'Character Customization', 'Fishing', 'Cooking', 'Casual', 'Relaxing', 'Economy', 'Base Building', 'Co-op', 'Cartoony', 'Idler', 'Simulation', '3D']",1000-5000
X-Plane 12,https://store.steampowered.com/app/2014780/XPlane_12/?snr=1_7_7_230_150_12,36.99,2864,88,"['Simulation', 'Flight', '3D', 'Immersive Sim', 'VR', 'Action-Adventure', 'Realistic', '3D Vision', 'First-Person', 'Jet', 'Atmospheric', 'Military', 'Relaxing', 'Choices Matter', 'Controller', 'Moddable', 'Open World', 'Physics', 'Tutorial', 'Co-op']",1000-5000
Incursion Red River,https://store.steampowered.com/app/2116120/Incursion_Red_River/?snr=1_7_7_230_150_13,8.99,3100,73,"['Action', 'Extraction Shooter', 'Realistic', 'Shooter', 'FPS', 'Military', 'Tactical', 'PvE', 'Co-op', '3D', 'Dark', 'Early Access', 'Combat', 'Looter Shooter', 'Singleplayer', 'Multiplayer', 'Controller', 'First-Person']",1000-5000
Men of War II,https://store.steampowered.com/app/1128860/Men_of_War_II/?snr=1_7_7_230_150_13,20.99,2757,62,"['Multiplayer', 'Co-op', 'RTS', 'World War II', 'Singleplayer', 'Strategy', 'Real Time Tactics', 'Online Co-Op', 'Wargame', 'Realistic', 'Moddable', 'Historical', 'Level Editor', 'Action', 'Tanks', 'Military', 'Tactical', '3D', 'Top-Down', 'PvP']",1000-5000
New Cycle,https://store.steampowered.com/app/2198510/New_Cycle/?snr=1_7_7_230_150_13,14.99,1424,68,"['City Builder', 'Strategy', 'Survival', 'Building', 'Colony Sim', 'Realistic', 'Simulation', 'Post-apocalyptic', 'Top-Down', 'Base Building', 'Resource Management', 'Singleplayer', 'Early Access', 'Sci-fi', '3D', 'Real-Time with Pause', 'Exploration', 'Management', 'Replay Value', 'Difficult']",1000-5000
Voidtrain,https://store.steampowered.com/app/1159690/Voidtrain/?snr=1_7_7_230_150_14,14.99,4008,70,"['Open World Survival Craft', 'Co-op', 'Survival', 'Multiplayer', 'Base Building', 'Crafting', 'Open World', 'Online Co-Op', 'Adventure', 'First-Person', 'Exploration', 'Building', 'Atmospheric', 'Singleplayer', 'Sandbox', 'Action', 'Simulation', 'Early Access', 'Trains', 'Indie']",1000-5000
Dead Island 2,https://store.steampowered.com/app/934700/Dead_Island_2/?snr=1_7_7_230_150_14,44.99,3978,78,"['Zombies', 'Co-op', 'Gore', 'Action-Adventure', 'First-Person', 'Post-apocalyptic', 'Adventure', 'Horror', 'Dark', 'Action RPG', 'Crafting', 'Controller', 'FPS', 'Dark Humor', 'Action', 'PvE', 'Character Customization', 'Combat', 'Hack and Slash', 'Survival Horror']",1000-5000
INDIKA,https://store.steampowered.com/app/1373960/INDIKA/?snr=1_7_7_230_150_14,13.49,2435,89,"['Puzzle', 'Surreal', 'Third Person', 'Horror', 'Psychedelic', 'Story Rich', 'Exploration', 'Dark', 'Psychological', 'Narration', 'Mature', 'Cinematic', 'Mystery', 'Adventure', 'Linear', 'Female Protagonist', 'Conversation', 'Singleplayer', 'Walking Simulator', 'Atmospheric']",1000-5000
Spirit City: Lofi Sessions,https://store.steampowered.com/app/2113850/Spirit_City_Lofi_Sessions/?snr=1_7_7_230_150_15,6.72,3432,95,"['Cozy', 'Relaxing', 'Casual', 'Utilities', 'Life Sim', 'Music', 'Creature Collector', 'Wholesome', 'Character Customization', 'Design & Illustration', 'Atmospheric', 'Immersive', 'Cute', 'Singleplayer', 'Anime', 'Family Friendly', 'Simulation', 'Idler', 'Colorful', 'Ambient']",1000-5000
Rabbit and Steel,https://store.steampowered.com/app/2132850/Rabbit_and_Steel/?snr=1_7_7_230_150_15,7.99,3765,97,"['Action Roguelike', 'Co-op', 'Bullet Hell', 'Anime', 'Roguelike', '2D', 'Cute', 'Class-Based', 'Difficult', 'Fantasy', 'Action', 'Loot', 'Adventure', 'Colorful', 'Magic', 'Combat', 'RPG', 'PvE', '2.5D', 'Cartoony']",1000-5000
Old World,https://store.steampowered.com/app/597180/Old_World/?snr=1_7_7_230_150_15,19.99,2914,84,"['Strategy', 'Simulation', 'Grand Strategy', 'Historical', 'Multiplayer', '4X', 'Turn-Based Strategy', 'Procedural Generation', 'War', 'Tactical', 'Management', 'Economy', 'Sandbox', 'Singleplayer', 'Turn-Based', 'Co-op', 'Military', 'Replay Value', 'Moddable', 'Diplomacy']",1000-5000
Total War: PHARAOH,https://store.steampowered.com/app/1937780/Total_War_PHARAOH/?snr=1_7_7_230_150_15,24.99,2732,77,"['Strategy', 'RTS', 'Grand Strategy', 'Action', 'Tactical', 'War', 'Atmospheric', 'Multiplayer', 'Singleplayer', 'PvP', 'Turn-Based Strategy', 'Historical', '4X', 'Rome', 'Early Access']",1000-5000
HOT WHEELS UNLEASHED™,https://store.steampowered.com/app/1271700/HOT_WHEELS_UNLEASHED/?snr=1_7_7_230_150_16,39.99,4728,81,"['Racing', 'Arcade', 'Driving', 'Multiplayer', 'Family Friendly', 'Split Screen', 'Third Person', 'Local Multiplayer', 'Singleplayer', 'PvP', 'Controller', 'Level Editor', 'Funny', 'Co-op']",1000-5000
Fabledom,https://store.steampowered.com/app/1651560/Fabledom/?snr=1_7_7_230_150_16,20.99,3849,84,"['City Builder', 'Relaxing', 'Sandbox', 'Colony Sim', 'Economy', 'Diplomacy', 'Fantasy', 'Romance', 'Cartoony', 'Resource Management', 'Procedural Generation', 'Base Building', 'Strategy', 'PvE', 'Casual', 'Cute', 'Funny', 'Colorful', 'Agriculture', 'Management']",1000-5000
Gym Simulator 24,https://store.steampowered.com/app/2559270/Gym_Simulator_24/?snr=1_7_7_230_150_17,2.99,1427,84,"['Early Access', 'Simulation', 'Immersive Sim', 'Casual', 'Management', 'Life Sim', 'Building', 'Sports', 'Martial Arts', '3D Fighter', 'Boxing', 'FPS', '3D', '3D Vision', 'Realistic', 'Colorful', 'Cycling', 'Economy', 'Modern', 'Female Protagonist']",1000-5000
Call of Duty®: Vanguard,https://store.steampowered.com/app/1985820/Call_of_Duty_Vanguard/?snr=1_7_7_230_150_17,59.99,2079,70,"['Action', 'Shooter', 'FPS', 'Singleplayer', 'First-Person', 'Zombies', 'Military', 'Multiplayer', 'World War II', 'Tactical', 'PvP', 'Gore', 'Gun Customization', 'Violent', 'Co-op', 'PvE', 'Online Co-Op', 'Hentai', 'Psychological Horror', 'Alternate History']",1000-5000
FOUNDRY,https://store.steampowered.com/app/983870/FOUNDRY/?snr=1_7_7_230_150_19,17.99,1227,81,"['Early Access', 'Automation', 'Base Building', 'Sandbox', 'Resource Management', 'Crafting', 'Building', 'Robots', 'Open World', 'Voxel', 'Procedural Generation', 'Co-op', 'Multiplayer', 'Online Co-Op', 'Simulation', 'Strategy', 'First-Person', 'Singleplayer', 'Sci-fi', 'Moddable']",1000-5000
COCOON,https://store.steampowered.com/app/1497440/COCOON/?snr=1_7_7_230_150_19,12.99,4630,94,"['Adventure', 'Puzzle', 'Exploration', 'Stylized', '3D', 'Puzzle Platformer', 'Atmospheric', 'Indie', 'Singleplayer', 'Futuristic', 'Space', 'Controller', 'Beautiful', 'Linear', 'Great Soundtrack', 'Sci-fi', 'Electronic Music', 'Isometric']",1000-5000
Command & Conquer™ 3: Kane’s Wrath,https://store.steampowered.com/app/24810/Command__Conquer_3_Kanes_Wrath/?snr=1_7_7_230_150_20,19.88,3966,89,"['Strategy', 'RTS', 'Base Building', 'Sci-fi', 'Multiplayer', 'Singleplayer', 'FMV', 'Great Soundtrack', 'Classic', 'Action', 'Story Rich', 'Atmospheric', 'Co-op', 'Post-apocalyptic']",1000-5000
Jujutsu Kaisen Cursed Clash,https://store.steampowered.com/app/1877020/Jujutsu_Kaisen_Cursed_Clash/?snr=1_7_7_230_150_20,39.99,2021,68,"['Action', 'Anime', '3D Fighter', '3D', 'Online Co-Op', 'Multiplayer', 'PvP', '3D Platformer', 'PvE', 'Co-op', 'Singleplayer', 'Gore', 'Violent', 'Psychological Horror', 'Hentai', 'Fighting', 'Sexual Content']",1000-5000
Living With Sister: Monochrome Fantasy,https://store.steampowered.com/app/2429860/Living_With_Sister_Monochrome_Fantasy/?snr=1_7_7_230_150_20,1.0,4002,96,"['Sexual Content', 'Hentai', 'Nudity', 'Cute', 'Anime', 'Mature', 'RPG', 'JRPG', 'NSFW', '2D', 'FPS', 'Singleplayer', 'Funny', 'Indie', 'Visual Novel', 'Psychological Horror', 'Dating Sim', 'Simulation', 'Souls-like', 'Family Friendly']",1000-5000
Winter Memories,https://store.steampowered.com/app/2495450/Winter_Memories/?snr=1_7_7_230_150_20,2.0,4878,97,"['Sexual Content', 'Mature', 'Hentai', 'Nudity', 'NSFW', 'FPS', 'Pixel Graphics', 'RPG', 'Anime', 'Simulation', 'Casual', 'JRPG', 'Singleplayer', 'Cute', 'Visual Novel', 'Dating Sim', 'Shooter', 'Adventure', '2D', 'Psychological Horror']",1000-5000
Songs of Syx,https://store.steampowered.com/app/1162750/Songs_of_Syx/?snr=1_7_7_230_150_20,12.49,4332,97,"['Early Access', 'City Builder', 'Colony Sim', 'Strategy', 'Base Building', 'Singleplayer', 'Sandbox', 'Grand Strategy', 'Building', '2D', 'Top-Down', 'Simulation', 'Pixel Graphics', 'Combat', 'Survival', 'Moddable', 'Open World', 'Fantasy', 'Medieval', 'Economy']",1000-5000
Cardboard Town,https://store.steampowered.com/app/2198070/Cardboard_Town/?snr=1_7_7_230_150_21,5.99,1298,76,"['Building', 'City Builder', 'Card Game', 'Stylized', 'Simulation', 'Resource Management', 'Roguelite', 'Turn-Based Strategy', 'Strategy', 'Management', 'Deckbuilding', 'Solitaire', 'Tabletop', 'Isometric', 'Roguelike Deckbuilder', 'Card Battler', 'Casual', 'Cartoony', 'Hand-drawn', 'Turn-Based Tactics']",1000-5000
Eiyuden Chronicle: Hundred Heroes,https://store.steampowered.com/app/1658280/Eiyuden_Chronicle_Hundred_Heroes/?snr=1_7_7_230_150_21,22.99,1687,78,"['RPG', 'JRPG', '2.5D', 'Turn-Based Combat', 'Story Rich', 'Singleplayer', 'Adventure', 'Combat', 'Indie', 'Strategy', 'Action-Adventure', 'Action RPG', 'Crafting', 'Anime', 'Action', 'Female Protagonist', 'Political', 'LGBTQ+']",1000-5000
Ghostrunner 2,https://store.steampowered.com/app/2144740/Ghostrunner_2/?snr=1_7_7_230_150_21,18.99,4242,68,"['Action', 'Cyberpunk', 'Runner', 'Hack and Slash', 'Swordplay', 'Fast-Paced', 'First-Person', 'Difficult', 'Vehicular Combat', 'Violent', 'Music', 'Adventure', 'Action-Adventure', 'Post-apocalyptic', 'Combat', 'Singleplayer', 'Motorbike', 'Ninja', 'Fighting', 'Strategy']",1000-5000
"Knowledge, or know Lady",https://store.steampowered.com/app/2786680/Knowledge_or_know_Lady/?snr=1_7_7_230_150_21,4.99,4923,94,"['Dating Sim', 'Sexual Content', 'FMV', 'Visual Novel', 'Singleplayer', 'Romance', 'First-Person', 'Multiple Endings', 'Choices Matter', 'Interactive Fiction', 'Story Rich', 'Immersive Sim', 'RPG', 'Emotional', 'Female Protagonist', 'Choose Your Own Adventure', 'Multiplayer', 'Drama', 'Simulation', 'Relaxing']",1000-5000
Tomb Raider I-III Remastered Starring Lara Croft,https://store.steampowered.com/app/2478970/Tomb_Raider_IIII_Remastered_Starring_Lara_Croft/?snr=1_7_7_230_150_22,14.99,3468,90,"['Action', 'Action-Adventure', 'Exploration', 'Old School', 'Female Protagonist', '3D', 'Singleplayer', 'Adventure', 'Controller', 'Puzzle', 'Classic', 'Atmospheric', 'Remake', 'Violent', 'Platformer', 'Great Soundtrack', 'Difficult', 'Story Rich', 'Horror', 'Mature']",1000-5000
Uncrashed : FPV Drone Simulator,https://store.steampowered.com/app/1682970/Uncrashed__FPV_Drone_Simulator/?snr=1_7_7_230_150_22,7.99,2303,95,"['Simulation', 'Sports', 'Flight', 'Racing', 'Physics', 'Singleplayer', 'Realistic', 'First-Person', '6DOF', 'Immersive Sim', '3D', 'Indie', 'Action', 'Exploration', 'Science', 'Combat Racing']",1000-5000
My Dream Setup,https://store.steampowered.com/app/2200780/My_Dream_Setup/?snr=1_7_7_230_150_22,3.59,2808,89,"['Design & Illustration', 'Relaxing', 'Building', 'Simulation', 'Casual', 'Sandbox', 'Indie', 'Immersive Sim', 'Cute', 'Cozy', 'Atmospheric', 'Minimalist', 'Stylized', '3D', 'Management', 'Isometric', 'Colorful', 'Singleplayer', 'Music', 'Replay Value']",1000-5000
Fallout Tactics: Brotherhood of Steel,https://store.steampowered.com/app/38420/Fallout_Tactics_Brotherhood_of_Steel/?snr=1_7_7_230_150_22,5.99,1926,83,"['Post-apocalyptic', 'RPG', 'Strategy', 'Turn-Based', 'Tactical', 'Isometric', 'Classic', 'Singleplayer', 'Sci-fi', 'Turn-Based Strategy', 'Tactical RPG', 'Open World', 'Real-Time with Pause', 'Action', 'Atmospheric', 'Turn-Based Tactics', 'Multiplayer', 'Story Rich', 'CRPG', 'Adventure']",1000-5000
