name,link,price,review_count,review_percentage,game_tags,Review_Category
Selaco,https://store.steampowered.com/app/1592280/Selaco/?snr=1_7_7_230_150_7,12.49,272,94,"['Boomer Shooter', 'FPS', 'Female Protagonist', 'Shooter', 'First-Person', '2.5D', 'Story Rich', 'Action', 'Pixel Graphics', 'Sci-fi', 'Adventure', 'Retro', 'Old School', 'Futuristic', 'Combat', 'Singleplayer', 'Gore', 'Soundtrack', 'Early Access', 'Fast-Paced']",250-500
The Rogue Prince of Persia,https://store.steampowered.com/app/2717880/The_Rogue_Prince_of_Persia/?snr=1_7_7_230_150_10,15.99,333,80,"['Early Access', 'Roguelite', 'Action Roguelike', '2D Platformer', 'Side Scroller', 'Fantasy', 'Action', 'Parkour', 'Stylized', 'Adventure', 'Colorful', 'Platformer', 'Roguelike', 'Action-Adventure', '2.5D', 'Hand-drawn', 'Cartoony', '2D', 'Atmospheric', 'Emotional']",250-500
Feather Party,https://store.steampowered.com/app/2300230/Feather_Party/?snr=1_7_7_230_150_14,1.49,254,91,"['Multiplayer', 'Casual', 'Funny', 'Online Co-Op', 'Party Game', 'Co-op', 'Minigames', 'Indie', 'Party', 'Action', 'Comedy', 'Colorful', '3D Platformer', '3D', 'Cartoony', 'Family Friendly', 'PvP', 'Early Access']",250-500
Reus 2,https://store.steampowered.com/app/1875060/Reus_2/?snr=1_7_7_230_150_15,12.49,314,97,"['God Game', 'Colony Sim', 'City Builder', 'Base Building', 'Management', 'Resource Management', 'Strategy', 'Turn-Based', 'Sandbox', 'Life Sim', 'Nature', 'Simulation', '2D', 'Relaxing', 'Building', 'Colorful', 'Singleplayer', 'Indie', 'Adventure', 'Exploration']",250-500
Denizen,https://store.steampowered.com/app/2010030/Denizen/?snr=1_7_7_230_150_16,10.49,320,77,"['Early Access', 'RPG', 'Life Sim', 'Sandbox', 'Adventure', 'Open World', 'Survival', 'Simulation', 'Driving', 'First-Person', 'Character Customization', '3D', 'Realistic', 'Singleplayer', 'Cooking', 'Immersive Sim', 'Crafting', 'Nonlinear', 'Loot', 'Inventory Management']",250-500
The Classrooms,https://store.steampowered.com/app/2099110/The_Classrooms/?snr=1_7_7_230_150_16,5.79,413,86,"['Early Access', 'Psychological Horror', 'Procedural Generation', 'Exploration', 'Surreal', ""1990's"", 'Atmospheric', 'Survival Horror', 'First-Person', '1980s', 'Cinematic', 'Mystery Dungeon', '3D', 'Horror', 'Dark', 'Investigation', 'Demons', 'Adventure', 'Mystery', 'Action']",250-500
Sons of Valhalla,https://store.steampowered.com/app/1409830/Sons_of_Valhalla/?snr=1_7_7_230_150_19,9.99,485,46,"['Strategy', 'RPG', 'Medieval', 'Action', 'Adventure', 'Open World', 'War', 'Sandbox', 'Story Rich', 'Simulation', 'Survival', 'Dark Fantasy', 'City Builder', 'Roguelite', 'Singleplayer', 'Tactical', 'Character Customization', 'Third Person', 'Pixel Graphics', 'Historical']",250-500
Coffee Caravan,https://store.steampowered.com/app/2649080/Coffee_Caravan/?snr=1_7_7_230_150_19,6.59,336,89,"['Management', 'Cooking', 'Roguelite', 'Strategy', 'Time Management', 'Simulation', 'Building', 'Family Friendly', 'Controller', 'Singleplayer', 'Cute', 'Minimalist', 'Cozy', 'Base Building', 'Casual', 'Economy', 'Character Customization', '3D', 'Roguelike', 'Action']",250-500
Heads Will Roll: Reforged,https://store.steampowered.com/app/687800/Heads_Will_Roll_Reforged/?snr=1_7_7_230_150_19,7.99,488,88,"['Replay Value', 'War', 'Dark', 'Perma Death', 'Choices Matter', 'Medieval', 'RPG', 'Historical', 'Story Rich', 'Text-Based', 'Choose Your Own Adventure', 'Difficult', 'Turn-Based', 'Romance', '2D', 'Interactive Fiction', 'Roguelite', 'Singleplayer', 'Atmospheric', 'Multiple Endings']",250-500
SILENT BREATH,https://store.steampowered.com/app/2796180/SILENT_BREATH/?snr=1_7_7_230_150_19,5.79,438,65,"['Horror', ""1990's"", 'Thriller', 'Psychological Horror', 'Early Access', 'Dark', 'Exploration', 'Realistic', 'First-Person', 'Simulation', 'Multiple Endings', 'Perma Death', 'Open World', 'Singleplayer', 'Mystery', 'Artificial Intelligence', 'Walking Simulator', 'Indie', 'Adventure', 'Roguelike']",250-500
