name,link,price,review_count,review_percentage,game_tags,Review_Category
EA SPORTS FC™ 24,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_230_150_1,69.99,63725,56,"['Football (Soccer)', 'Sports', 'Controller', 'Multiplayer', 'PvP', 'eSports', 'Competitive', 'PvE', '3D', 'Local Multiplayer', 'Simulation', 'Online Co-Op', 'Co-op', 'Realistic', 'Singleplayer', 'First-Person', 'Local Co-Op', 'Family Friendly', 'Action', 'Early Access']",25000-100000
Hades II,https://store.steampowered.com/app/1145350/Hades_II/?snr=1_7_7_230_150_1,14.99,37037,94,"['Action', 'RPG', 'Roguelike', 'Roguelite', 'Action Roguelike', 'Action RPG', 'Hack and Slash', 'Dungeon Crawler', 'Mythology', 'Isometric', 'Hand-drawn', 'Souls-like', 'Atmospheric', 'Story Rich', 'Singleplayer', 'Female Protagonist', 'Perma Death', 'Indie', 'Early Access', 'Difficult']",25000-100000
Black Desert,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_230_150_1,4.99,54770,68,"['MMORPG', 'Massively Multiplayer', 'Open World', 'RPG', 'Character Customization', 'Adventure', 'Fantasy', 'Action', 'Strategy', '3D', 'Medieval', 'Crafting', 'Atmospheric', 'Magic', 'Multiplayer', 'Simulation', 'PvP', 'Cooking', 'War', 'Combat']",25000-100000
Manor Lords,https://store.steampowered.com/app/1363080/Manor_Lords/?snr=1_7_7_230_150_1,19.99,39350,87,"['Strategy', 'City Builder', 'Simulation', 'Base Building', 'Colony Sim', 'Management', 'Building', 'Resource Management', 'Medieval', 'Sandbox', 'Survival', 'Open World', 'Procedural Generation', 'RTS', 'Singleplayer', 'Replay Value', 'Economy', 'Moddable', 'Farming Sim', 'Early Access']",25000-100000
The Planet Crafter,https://store.steampowered.com/app/1284190/The_Planet_Crafter/?snr=1_7_7_230_150_1,12.49,32998,95,"['Online Co-Op', 'Open World Survival Craft', 'Base Building', 'Survival', 'Co-op', 'Building', 'Open World', 'Crafting', 'Exploration', 'First-Person', 'Sandbox', 'Singleplayer', 'Resource Management', 'Automation', 'Space', 'Sci-fi', 'Adventure', 'Story Rich', 'Immersive Sim', 'Aliens']",25000-100000
Enshrouded,https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_230_150_1,14.99,44768,79,"['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op', 'Crafting', 'Action RPG', 'RPG', 'Building', 'Adventure', 'Exploration', 'Singleplayer', 'Early Access', 'Fantasy', 'Character Customization', 'Sandbox', 'Action', 'PvE', '3D', 'Indie']",25000-100000
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_230_150_2,17.99,79842,87,"['Survival', 'Open World', 'Base Building', 'Multiplayer', 'Vampire', 'Crafting', 'Online Co-Op', 'PvP', 'PvE', 'Building', 'Hack and Slash', 'Sandbox', 'Exploration', 'Massively Multiplayer', 'Action', 'Singleplayer', 'Action-Adventure', 'Adventure', 'Dark Fantasy', 'Co-op']",25000-100000
DAVE THE DIVER,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER/?snr=1_7_7_230_150_2,12.99,92667,96,"['Pixel Graphics', 'Casual', 'Management', 'Adventure', 'RPG', 'Relaxing', 'Fishing', 'Simulation', 'Exploration', 'Underwater', 'Singleplayer', 'Farming Sim', 'Crafting', '2D', 'Roguelite', 'Story Rich', 'Funny', 'Agriculture', 'Action', 'Early Access']",25000-100000
Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_230_150_2,23.99,85419,83,"['Grand Strategy', 'Strategy', 'Historical', 'Simulation', '4X', 'Alternate History', 'Military', 'Wargame', 'Diplomacy', 'Economy', 'Replay Value', 'Sandbox', 'Political', 'Real-Time with Pause', 'Moddable', 'Nonlinear', 'Co-op', 'Management', 'Singleplayer', 'Multiplayer']",25000-100000
FINAL FANTASY XIV Online,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_230_150_2,15.99,67805,84,"['MMORPG', 'RPG', 'Massively Multiplayer', 'Fantasy', 'Character Customization', 'JRPG', 'Story Rich', 'Open World', 'Multiplayer', 'Magic', 'Adventure', 'Third Person', 'Co-op', 'Atmospheric', 'Action', 'Online Co-Op', 'Exploration', 'Action RPG', 'Crafting', 'Female Protagonist']",25000-100000
Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms/?snr=1_7_7_230_150_3,5.79,59427,91,"['Horror', 'Multiplayer', 'Online Co-Op', 'Psychological Horror', 'Co-op', 'Survival Horror', 'First-Person', 'Exploration', 'Adventure', 'Escape Room', 'Action', 'VR', '3D', 'Singleplayer', 'Early Access', 'Indie', 'Action-Adventure', 'Casual', 'Dungeon Crawler', 'Stealth']",25000-100000
Gray Zone Warfare,https://store.steampowered.com/app/2479810/Gray_Zone_Warfare/?snr=1_7_7_230_150_3,17.99,41016,68,"['Realistic', 'Military', 'Survival', 'FPS', 'Extraction Shooter', 'Open World', 'Tactical', 'Shooter', 'PvP', 'First-Person', 'Multiplayer', 'PvE', 'Massively Multiplayer', 'Co-op', 'Gun Customization', 'Early Access', 'Exploration', 'Action', 'Adventure', 'Modern']",25000-100000
Total War: WARHAMMER III,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_230_150_3,49.99,70490,85,"['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'Dark Fantasy', 'War', 'Action', 'Tactical', 'Atmospheric', 'Dwarf', 'Games Workshop', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Warhammer 40K']",25000-100000
Days Gone,https://store.steampowered.com/app/1259420/Days_Gone/?snr=1_7_7_230_150_3,49.99,57136,85,"['Open World', 'Zombies', 'Survival', 'Singleplayer', 'Post-apocalyptic', 'Multiplayer', 'Action', 'Action-Adventure', 'Story Rich', 'Third Person', 'Open World Survival Craft', 'Adventure', 'Horror', 'Motorbike', 'Crafting', 'Survival Horror', 'Third-Person Shooter', 'Violent', 'Gore', 'Cinematic']",25000-100000
Supermarket Simulator,https://store.steampowered.com/app/2670630/Supermarket_Simulator/?snr=1_7_7_230_150_3,3.99,34517,92,"['Simulation', 'Economy', 'Management', 'Singleplayer', 'Immersive Sim', 'Multiplayer', 'Trading', 'First-Person', 'Life Sim', 'Building', 'Capitalism', 'Sandbox', '3D', 'Resource Management', 'Casual', 'Realistic', 'Inventory Management', 'Indie', 'Early Access', 'Driving']",25000-100000
