name,link,price,review_count,review_percentage,game_tags,Review_Category
Ghost of Tsushima DIRECTOR'S CUT,https://store.steampowered.com/app/2215430/Ghost_of_Tsushima_DIRECTORS_CUT/?snr=1_7_7_230_150_1,59.99,15988,89,"['Action', 'Adventure', 'Open World', 'Story Rich', 'Third Person', 'Singleplayer', 'Combat', 'Ninja', 'Action-Adventure', 'Action RPG', 'Stealth', 'Atmospheric', 'Multiplayer', 'Souls-like', 'Violent', 'Gore', 'Historical', 'Online Co-Op', 'Co-op', 'Exploration']",5000-25000
Bellwright,https://store.steampowered.com/app/1812450/Bellwright/?snr=1_7_7_230_150_2,14.99,5462,78,"['Survival', 'Open World', 'Crafting', 'Medieval', 'Online Co-Op', 'Simulation', 'City Builder', 'RPG', 'Strategy', 'Building', 'Multiplayer', 'Life Sim', 'Action', 'Exploration', 'Singleplayer', 'Third Person', 'Co-op', 'Early Access', 'War', '3D']",5000-25000
Football Manager 2024,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_230_150_2,39.99,7561,91,"['Simulation', 'Sports', 'Strategy', 'Management', 'Football (Soccer)', 'eSports', 'Real Time Tactics', 'Multiplayer', 'Economy', '3D', 'Singleplayer', 'Text-Based', '2D']",5000-25000
Content Warning,https://store.steampowered.com/app/2881650/Content_Warning/?snr=1_7_7_230_150_2,4.49,19946,94,"['Online Co-Op', 'Horror', 'Multiplayer', 'First-Person', 'Exploration', 'Psychological Horror', 'Co-op', 'Funny', 'Survival Horror', 'Dungeon Crawler', 'Atmospheric', '3D', 'Adventure', 'Time Management', 'Supernatural', 'Action-Adventure', 'Investigation', 'Mystery', 'Sci-fi', 'Procedural Generation']",5000-25000
Diablo® IV,https://store.steampowered.com/app/2344520/Diablo_IV/?snr=1_7_7_230_150_3,69.99,17105,79,"['Action RPG', 'Hack and Slash', 'RPG', 'Isometric', 'Online Co-Op', 'Loot', 'Singleplayer', 'Co-op', 'Action', 'Third Person', 'Multiplayer', 'PvE', 'Fantasy', 'Dungeon Crawler', 'Story Rich', 'Dark Fantasy', 'Point & Click', 'Exploration', 'Gore', 'Violent']",5000-25000
Buckshot Roulette,https://store.steampowered.com/app/2835570/Buckshot_Roulette/?snr=1_7_7_230_150_3,1.49,20656,94,"['Dark', 'First-Person', 'Horror', '3D', 'Gambling', 'Strategy', 'Indie', 'Singleplayer', 'Psychological', 'Puzzle', 'Experimental', 'Multiplayer', 'Action', 'Roguelike', 'Simulation', 'Surreal', 'Blood', 'Psychological Horror', 'Roguelite', 'FPS']",5000-25000
Abiotic Factor,https://store.steampowered.com/app/427410/Abiotic_Factor/?snr=1_7_7_230_150_4,12.49,7320,96,"['Early Access', 'Online Co-Op', 'Open World Survival Craft', 'Survival', 'Crafting', 'Base Building', 'Sci-fi', 'Co-op Campaign', 'Exploration', 'Multiplayer', 'FPS', 'Sandbox', 'First-Person', 'Simulation', 'Building', 'Science', 'Aliens', 'Adventure', 'Immersive Sim', 'PvE']",5000-25000
Arma Reforger,https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_230_150_4,18.98,11442,80,"['Action', 'Simulation', 'Shooter', 'Military', 'Strategy', 'FPS', 'Realistic', 'Sandbox', 'First-Person', 'Real Time Tactics', 'Tactical', 'War', 'Third Person', 'Open World', 'Multiplayer', 'PvE', 'PvP', 'Cold War', '1980s', 'Moddable']",5000-25000
Street Fighter™ 6,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_230_150_4,44.99,24680,76,"['2D Fighter', 'Fighting', 'Character Customization', 'Action', 'Arcade', 'Multiplayer', 'Adventure', 'Competitive', 'PvP', 'Open World', 'eSports', 'Singleplayer', 'Local Multiplayer', 'Action RPG', 'Controller', '3D', 'Great Soundtrack', 'Sandbox', 'Martial Arts', 'Anime']",5000-25000
ANIMAL WELL,https://store.steampowered.com/app/813230/ANIMAL_WELL/?snr=1_7_7_230_150_5,11.49,8955,96,"['Exploration', 'Metroidvania', 'Puzzle', 'Puzzle Platformer', 'Platformer', 'Horror', 'Pixel Graphics', 'Adventure', 'Action', 'Mystery', '2D', 'Atmospheric', 'Relaxing', 'Surreal', 'Cute', 'Nonlinear', 'Controller', 'Singleplayer', 'Retro', 'Indie']",5000-25000
Pacific Drive,https://store.steampowered.com/app/1458140/Pacific_Drive/?snr=1_7_7_230_150_5,14.99,8639,84,"['Story Rich', 'Survival', 'Driving', 'Sci-fi', 'Exploration', 'Action', 'Survival Horror', 'Adventure', 'Crafting', 'Atmospheric', 'First-Person', 'Post-apocalyptic', 'Transportation', 'Base Building', 'Sandbox', '3D', 'Simulation', 'Action-Adventure', 'Investigation', 'Building']",5000-25000
No Rest for the Wicked,https://store.steampowered.com/app/1371980/No_Rest_for_the_Wicked/?snr=1_7_7_230_150_5,19.99,22895,77,"['Early Access', 'RPG', 'Action', 'Souls-like', 'Action RPG', 'Exploration', 'Hack and Slash', 'Isometric', '3D', 'Cinematic', 'Colorful', 'Immersive Sim', 'Dark Fantasy', 'Stylized', 'Atmospheric', 'Drama', 'Gothic', 'Supernatural', 'Character Customization', 'Combat']",5000-25000
Assetto Corsa Competizione,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_230_150_6,18.99,22160,94,"['Racing', 'Automobile Sim', 'Simulation', 'Multiplayer', 'VR', 'Driving', 'Realistic', 'Sports', 'Singleplayer', 'Controller', 'Open World', 'eSports', 'Early Access', 'First-Person', 'Competitive', 'Online Co-Op', 'Atmospheric', 'Moddable', 'Difficult', 'Action']",5000-25000
Tom Clancy's Ghost Recon® Breakpoint,https://store.steampowered.com/app/2231380/Tom_Clancys_Ghost_Recon_Breakpoint/?snr=1_7_7_230_150_6,47.99,17118,72,"['Action', 'Open World', 'Shooter', 'Multiplayer', 'Singleplayer', 'Co-op', 'Third-Person Shooter', 'Military', 'Adventure', 'Stealth', 'Realistic', 'Third Person', 'Online Co-Op', 'Character Customization', 'Tactical', 'FPS', 'Violent', 'Looter Shooter', 'Gore', 'Sexual Content']",5000-25000
"Ranch Simulator - Build, Farm, Hunt",https://store.steampowered.com/app/1119730/Ranch_Simulator__Build_Farm_Hunt/?snr=1_7_7_230_150_6,1.99,20582,75,"['Simulation', 'Multiplayer', 'Online Co-Op', 'Open World', 'Farming Sim', 'Farming', 'Job Simulator', 'Co-op', 'Realistic', 'Hunting', 'Sandbox', 'Singleplayer', 'Management', 'Economy', 'Destruction', 'Trading', 'Immersive Sim', 'Relaxing', 'Indie', 'First-Person']",5000-25000
Minecraft Dungeons,https://store.steampowered.com/app/1672970/Minecraft_Dungeons/?snr=1_7_7_230_150_6,11.99,10252,88,"['Dungeon Crawler', 'Hack and Slash', 'Adventure', 'Action', 'RPG', 'Action RPG', 'Action-Adventure', 'Exploration', 'Top-Down', 'Loot', 'Isometric', 'Arcade', 'Colorful', 'Voxel', 'Cute', 'Fantasy', 'Family Friendly', 'Atmospheric', 'Funny', 'Magic']",5000-25000
Horizon Forbidden West™ Complete Edition,https://store.steampowered.com/app/2420110/Horizon_Forbidden_West_Complete_Edition/?snr=1_7_7_230_150_6,59.99,8489,85,"['Singleplayer', 'Open World', 'Female Protagonist', 'Action', 'RPG', 'Post-apocalyptic', 'Exploration', 'Story Rich', 'Third Person', 'Sci-fi', 'Robots', 'Action RPG', 'Adventure', 'Atmospheric', 'Great Soundtrack', 'LGBTQ+', 'Controller', 'Action-Adventure', 'Stealth', 'Multiplayer']",5000-25000
HITMAN World of Assassination,https://store.steampowered.com/app/1659040/HITMAN_World_of_Assassination/?snr=1_7_7_230_150_7,14.99,22123,87,"['Stealth', 'Assassin', 'Action', 'Singleplayer', 'Sandbox', 'VR', 'Violent', 'Shooter', 'Third-Person Shooter', 'Adventure', 'Third Person', 'Realistic', 'Cinematic', 'Funny', 'Puzzle', 'Gore', 'Immersive Sim', 'Open World', 'Multiplayer', 'Capitalism']",5000-25000
Myth of Empires,https://store.steampowered.com/app/1371580/Myth_of_Empires/?snr=1_7_7_230_150_7,17.99,13124,78,"['Building', 'Open World Survival Craft', 'Sandbox', 'Open World', 'MMORPG', 'War', 'Survival', 'Base Building', 'Character Customization', 'RPG', 'Action-Adventure', 'Multiplayer', 'Hack and Slash', 'Strategy', 'Third Person', 'Historical', 'Action', 'Team-Based', '3D', 'Massively Multiplayer']",5000-25000
Assassin's Creed Valhalla,https://store.steampowered.com/app/2208920/Assassins_Creed_Valhalla/?snr=1_7_7_230_150_7,47.99,20275,66,"['Action', 'Open World', 'RPG', 'Adventure', 'Sexual Content', 'Singleplayer', 'Vikings', 'Multiplayer', 'Nudity', 'Action-Adventure', 'Third Person', 'Stealth', 'Action RPG', 'Violent', 'Assassin', 'Story Rich', 'Gore', 'Historical', 'Female Protagonist', 'LGBTQ+']",5000-25000
Songs of Conquest,https://store.steampowered.com/app/867210/Songs_of_Conquest/?snr=1_7_7_230_150_7,17.99,7140,85,"['Local Multiplayer', 'Turn-Based Tactics', '4X', 'Tactical', 'Turn-Based Strategy', 'Turn-Based Combat', 'Fantasy', 'Strategy RPG', 'Strategy', 'Magic', 'Atmospheric', 'Pixel Graphics', 'Lore-Rich', 'Retro', 'Story Rich', 'Tactical RPG', '2.5D', 'Old School', 'Controller', 'Co-op']",5000-25000
Call of Duty®: Modern Warfare® III,https://store.steampowered.com/app/2519060/Call_of_Duty_Modern_Warfare_III/?snr=1_7_7_230_150_7,69.99,9263,25,"['Action', 'FPS', 'Shooter', 'Multiplayer', 'Singleplayer', 'Military', 'First-Person', 'PvP', 'War', 'Modern', 'Tactical', 'Co-op', 'Violent', 'Online Co-Op', 'Gore', 'Story Rich', 'Realistic', 'Open World', 'Combat', 'PvE']",5000-25000
Call of Duty®: Modern Warfare® II,https://store.steampowered.com/app/1962660/Call_of_Duty_Modern_Warfare_II/?snr=1_7_7_230_150_7,69.99,5410,24,"['Action', 'FPS', 'Multiplayer', 'Singleplayer', 'Shooter', 'Military', 'War', 'Online Co-Op', 'Gore', 'Story Rich', 'PvP', 'Tactical', 'LGBTQ+', 'Violent', 'Co-op', 'Realistic', 'Atmospheric', 'Third-Person Shooter', 'Third Person', 'First-Person']",5000-25000
Car Mechanic Simulator 2021,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_230_150_7,12.49,23459,93,"['Simulation', 'Automobile Sim', 'Sandbox', 'Realistic', 'Moddable', 'Racing', 'Driving', '3D', 'Education', 'First-Person', 'Singleplayer', 'Immersive Sim', 'Puzzle', 'Open World', 'Atmospheric', 'Adventure', 'Minigames', 'Indie', 'Strategy', 'VR']",5000-25000
Car For Sale Simulator 2023,https://store.steampowered.com/app/2248760/Car_For_Sale_Simulator_2023/?snr=1_7_7_230_150_7,3.99,12572,82,"['Driving', 'Immersive Sim', 'Trading', 'Automobile Sim', 'FPS', 'Simulation', 'Life Sim', '3D', 'First-Person', 'Open World', 'Conversation', 'Realistic', 'Family Friendly', 'Multiplayer', 'Cinematic', 'America', 'Singleplayer', 'Modern', 'Early Access', 'Inventory Management']",5000-25000
TEKKEN 8,https://store.steampowered.com/app/1778820/TEKKEN_8/?snr=1_7_7_230_150_8,44.99,20439,54,"['Fighting', 'Action', '3D Fighter', 'Multiplayer', 'eSports', 'Local Multiplayer', 'Arcade', 'PvP', 'Singleplayer', 'Casual', 'Competitive', 'Great Soundtrack', 'Anime', 'Character Customization', 'Difficult', 'Martial Arts', 'Story Rich', 'Controller', 'Sexual Content', 'Horror']",5000-25000
Infection Free Zone,https://store.steampowered.com/app/1465460/Infection_Free_Zone/?snr=1_7_7_230_150_8,12.49,7340,75,"['Early Access', 'Base Building', 'Post-apocalyptic', 'City Builder', 'Strategy', 'Simulation', 'Zombies', 'Management', 'Outbreak Sim', 'RTS', 'Sandbox', 'Colony Sim', 'Survival', 'Time Management', 'Immersive Sim', '3D', 'Singleplayer', 'Minimalist', 'Atmospheric', 'Dark']",5000-25000
